engine,rel,note,out_fmt,quality,long_edge,repeat,ok,inner_s,outer_s,peak_rss_kb,rss_over_import_kb,out_bytes,out_w,out_h,src_fmt,src_mode,src_w,src_h,src_mp,src_bytes,src_icc,src_exif_orient,err
pillow,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,0,1,0.68524,0.69289,602048,576692,1594408,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pillow,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,1,1,0.6237,0.63139,602048,576692,1594408,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pillow,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,2,1,0.61869,0.62627,602048,576692,1594408,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pillow_draft,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,0,1,0.4775,0.4842,175936,150572,1607332,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pillow_draft,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,1,1,0.47413,0.48051,175936,150572,1607332,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pillow_draft,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,2,1,0.4732,0.47934,175936,150572,1607332,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,0,1,0.40497,0.40785,99340,73976,1620088,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,1,1,0.41702,0.41994,110096,84732,1620088,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,2,1,0.40136,0.40427,99868,74504,1620088,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips_c1,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,0,1,0.40926,0.4123,106736,81372,1620088,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips_c1,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,1,1,0.40973,0.41287,110648,85284,1620088,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips_c1,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,2,1,0.41975,0.42275,109692,84328,1620088,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips_tuned,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,0,1,0.2866,0.28925,79640,54276,1570651,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips_tuned,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,1,1,0.28446,0.28708,76932,51568,1570651,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pyvips_tuned,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,2,1,0.29044,0.29303,77308,51944,1570651,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
ffmpeg,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,0,1,0.69419,0.69581,228316,202952,1863344,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
ffmpeg,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,1,1,0.66874,0.67027,228552,203188,1863344,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
ffmpeg,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",jpeg,85,2400,2,1,0.66408,0.66564,228604,203240,1863344,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
pillow,public/files/00d54ac2006fcef07a9eebf4914b2878.jpg,"JPEG RGB 72,7 MP — korpusun en büyük megapikseli",webp,80,2400,0,1,1.05245,1.05937,602056,576700,1489348,2400,1640,JPEG,RGB,10315,7049,72.71,10174706,0,0,
